Date,BTC,ETH
2022-04-18,0.027546268364385895,0.02122150798980904
2022-04-19,0.016435294339235185,0.015093412368395676
2022-04-20,-0.003097867846211244,-0.008528432651457862
2022-04-21,-0.02068443970831879,-0.029767000729542303
2022-04-22,-0.019611085251920457,-0.007608845779525808
2022-04-23,-0.00640161932757799,-0.009053731962818112
2022-04-24,-0.0004417015833446669,-0.005248860381637854
2022-04-25,0.02474905007609607,0.02921955843697699
2022-04-26,-0.05959955698854813,-0.06915985471067287
2022-04-27,0.029052734994520435,0.028307356278774343
2022-04-28,0.01348390672152533,0.016482452376458845
2022-04-29,-0.029702353660828962,-0.042192511152652656
2022-04-30,-0.023452178557919368,-0.030806004516415797
2022-05-01,0.01980058020040154,0.03511348097331268
2022-05-02,0.0015645616058179712,0.010432259389036247
